,売上高10%増フラグ,売上高成長率t+1,売上高t+1,売上高t,売上高t-1,売上高t-2,売上高成長率t,売上高成長率t-1,資産t,負債t,純資産t,営業利益t,当期純利益t,営業CFt,投資CFt,財務CFt,ROSt,ROAt,ROEt,ATt,LEVt,営業CF比率t,投資CF比率t,財務CF比率t,FCFt
清水建設,1,1.304022156,1933814,1482961,1456473,1698292,1.0181864,0.85761047,2128356,1253184,875172,45145,47761,77772,-89308,19634,0.030442473,0.022440325,0.054573272,0.696763605,0.588803753,0.052443726,-0.060222757,0.013239728,-11536
飛島建設,0,1.070335274,125941,117665,117295,134859,1.00315444,0.869760268,114632,70759,43872,4575,3219,-6187,-1772,-4561,0.038881571,0.028081164,0.073372538,1.026458581,0.617270919,-0.052581481,-0.015059703,-0.038762589,-7959
長谷工コーポレーション,1,1.129238173,1027277,909708,809438,846029,1.123876072,0.95674971,1081907,664240,417667,82702,54490,65448,-31601,15728,0.09091049,0.050364773,0.130462785,0.840837521,0.613952955,0.071943964,-0.03473752,0.017289064,33847
鹿島,1,1.149966221,2391579,2079695,1907176,2010751,1.090457829,0.948489395,2337741,1384175,953566,123382,103867,30215,-51166,-20930,0.059326969,0.044430499,0.108924815,0.88961737,0.592099381,0.014528573,-0.024602646,-0.010063976,-20951
不動テトラ,0,1.05522777,70466,66778,72308,71200,0.923521602,1.015561798,51901,21552,30350,3297,2063,-1035,-2088,502,0.049372548,0.039748752,0.067973641,1.286641876,0.415252115,-0.015499116,-0.031267783,0.007517446,-3123
大末建設,0,1.031430828,71834,69645,56490,65167,1.232873075,0.866849786,48662,28032,20629,2708,1816,1960,-122,-535,0.038882906,0.037318647,0.088031412,1.431198882,0.576055238,0.028142724,-0.001751741,-0.007681815,1838
鉄建建設,0,1.06065285,160743,151551,182020,192842,0.832606307,0.94388152,173079,109147,63931,5247,4706,5273,-810,-3430,0.034622008,0.027189896,0.073610611,0.875617493,0.630619544,0.034793568,-0.005344735,-0.022632645,4463
西松建設,0,1.049429505,339757,323754,336241,391621,0.962862947,0.858587767,477613,319897,157715,23540,15103,41243,-22532,-16074,0.072709526,0.031621836,0.095761342,0.677858434,0.669782858,0.127389932,-0.069596051,-0.049648807,18711
三井住友建設,1,1.137243816,458622,403275,421619,472402,0.956491524,0.892500455,394073,294372,99701,-7459,-7022,9996,-12980,-2148,-0.018496063,-0.017819034,-0.070430587,1.023351003,0.746998653,0.024787056,-0.032186473,-0.00532639,-2984
奥村組,0,1.028804989,249442,242458,220712,226371,1.098526587,0.975001215,332348,164923,167425,12647,12541,18289,-2754,-4209,0.052161611,0.037734543,0.074905181,0.729530492,0.496235873,0.075431621,-0.011358668,-0.017359708,15535
東鉄工業,0,1.086673408,124661,114718,132919,146034,0.863066981,0.910192147,136669,38144,98525,7261,5326,3094,-5831,-3171,0.063294339,0.038970066,0.054057346,0.839385669,0.279097674,0.026970484,-0.050828989,-0.027641695,-2737
浅沼組,0,1.066121437,144436,135478,138934,141472,0.975124879,0.982060054,90537,47663,42873,4835,3748,1563,-2264,-2267,0.035688451,0.04139744,0.087420988,1.496382694,0.526447751,0.011536929,-0.0167112,-0.016733344,-701
戸田建設,0,1.09101731,547155,501509,507134,518683,0.988908257,0.977733992,761199,442157,319042,24385,18560,27274,-20433,18306,0.048623255,0.024382586,0.058174159,0.658840855,0.580869129,0.054383869,-0.040743038,0.036501837,6841
熊谷組,0,0.948934189,403502,425216,450232,436151,0.944437534,1.03228469,371096,201794,169302,22743,15850,8258,-3395,-9686,0.053485758,0.04271132,0.093619686,1.145838274,0.543778429,0.019420718,-0.007984177,-0.022779011,4863
矢作建設工業,1,1.193576109,111110,93090,106615,90129,0.873141678,1.182915599,116423,58891,57532,6169,4842,15841,-1549,-14351,0.066269202,0.04158972,0.084161858,0.799584275,0.505836476,0.170168654,-0.016639811,-0.154162638,14292
ピーエス三菱,0,0.997154297,109327,109639,117219,105744,0.935334715,1.108516795,93100,47567,45533,6618,4539,2599,-1150,-1970,0.060361733,0.048754028,0.099685942,1.177647691,0.510923738,0.023705068,-0.010488968,-0.017968059,1449
大東建託,0,1.047140151,1657626,1583003,1488915,1586293,1.063192325,0.938612854,1005879,640091,365787,99594,69580,112483,-19511,-34089,0.0629146,0.06917333,0.190219991,1.573750918,0.636349899,0.071056719,-0.012325308,-0.021534387,92972
新日本建設,0,1.0619374,113725,107092,101785,112542,1.052139313,0.904417906,140177,48563,91613,15549,10796,3766,-123,-1129,0.145192918,0.077016914,0.117843537,0.763976972,0.346440572,0.035166025,-0.001148545,-0.010542337,3643
東亜道路工業,0,1.058893309,118721,112118,111801,109123,1.002835395,1.024541114,84691,34225,50466,5516,3714,4584,-2842,-2856,0.049198166,0.043853538,0.073594103,1.32384787,0.40411614,0.040885496,-0.025348294,-0.025473162,1742
日本道路,0,0.993439017,155353,156379,157796,148699,0.991020051,1.061177278,152194,57187,95006,8202,5667,2360,-5140,-3788,0.052449498,0.037235371,0.059648864,1.027497799,0.375750687,0.01509154,-0.032868863,-0.024223201,-2780
東亜建設工業,0,0.971589617,213569,219814,189712,190278,1.158672092,0.997025405,212916,126190,86725,9874,7385,-2671,-2391,4550,0.044919796,0.03468504,0.085154223,1.032397753,0.592675046,-0.012151182,-0.010877378,0.020699319,-5062
若築建設,0,0.94212911,84004,89164,89822,107830,0.9926744,0.832996383,81479,43124,38355,6834,4736,16030,-1475,-12747,0.076645283,0.058125407,0.123478034,1.094318782,0.529265209,0.179781078,-0.016542551,-0.142961285,14555
東洋建設,1,1.103767276,168351,152524,172976,174805,0.881763944,0.989536913,135582,65682,69899,9616,5863,22287,-1109,-7462,0.063045816,0.043243203,0.083878167,1.12495759,0.484444838,0.146121266,-0.007270987,-0.048923448,21178
五洋建設,0,1.095966881,502206,458231,471058,573842,0.972769808,0.820884494,467364,307577,159786,15939,10753,-7687,-11821,1362,0.034783766,0.023007763,0.067296259,0.980458486,0.658110167,-0.016775382,-0.025797033,0.0029723,-19508
世紀東急工業,0,1.085537753,92414,85132,90025,78631,0.945648431,1.144904681,78295,37797,40497,4418,3304,4646,-3668,-2232,0.051895879,0.042199374,0.08158629,1.087323584,0.482751134,0.054574073,-0.043086031,-0.026218108,978
大和ハウス工業,1,1.105565762,4908199,4439536,4126769,4380209,1.075789801,0.942139747,5521662,3410277,2111385,383256,225272,336436,-467423,24427,0.086327941,0.040797861,0.106693947,0.804021688,0.617617848,0.075781793,-0.105286453,0.005502152,-130987
ライト工業,0,1.049952513,114974,109504,108209,106210,1.011967581,1.018821203,115885,35068,80817,13236,8930,8597,-2350,-4687,0.120872297,0.077059153,0.110496554,0.944936791,0.302610346,0.078508548,-0.021460403,-0.042802089,6247
日特建設,1,1.10354743,72918,66076,67955,65516,0.972349349,1.037227547,51712,21101,30610,4523,3329,4750,-23,-1785,0.06845148,0.064375774,0.108755309,1.277769183,0.408048422,0.071886918,-0.000348084,-0.027014347,4727
北陸電気工事,0,0.976441387,44846,45928,44888,49932,1.023168776,0.898982616,55465,15604,39861,3157,2246,199,-3035,-943,0.068738025,0.040494005,0.056345802,0.828053728,0.281330569,0.004332869,-0.066081693,-0.020532137,-2836
ユアテック,0,1.009093854,227366,225317,197092,202760,1.143207233,0.972045768,216016,86469,129546,9492,6700,7930,-9808,-1455,0.042127314,0.031016221,0.05171908,1.043056996,0.400289793,0.035194859,-0.043529782,-0.006457569,-1878
日本リーテック,0,1.009656028,53745,53231,55200,61588,0.96432971,0.896278496,79857,24353,55504,3068,2403,2625,-455,-1088,0.057635588,0.030091288,0.043294177,0.66657901,0.304957612,0.04931337,-0.008547651,-0.020439218,2170
四電工,0,0.961920387,89120,92648,89629,82728,1.033683294,1.083417948,96517,42341,54175,5415,3779,9918,-1586,-2554,0.058447025,0.039153724,0.069755422,0.959913798,0.438689557,0.107050341,-0.017118556,-0.027566704,8332
中電工,0,0.99130526,189032,190690,184482,168888,1.033650979,1.092333381,279725,63396,216329,10425,6682,7968,-4326,-8516,0.054669883,0.023887747,0.030888138,0.681705246,0.226636876,0.041785096,-0.022686035,-0.04465887,3642
関電工,0,1.092847183,541579,495567,556045,616143,0.891235422,0.902460955,470967,177452,293514,30643,20315,27150,-9224,-7789,0.061834222,0.043134657,0.069213053,1.052232959,0.376782237,0.05478573,-0.018613023,-0.01571735,17926
きんでん,0,1.074697333,609132,566794,556273,585905,1.018913375,0.949425248,700259,188416,511843,37087,26366,32952,-9977,-8254,0.065432944,0.037651783,0.051511889,0.809406234,0.26906616,0.058137524,-0.017602515,-0.01456261,22975
東京エネシス,0,1.089241919,79055,72578,59514,66520,1.219511375,0.894678292,102982,38510,64472,3158,1226,-5733,-385,5784,0.043511808,0.011904993,0.019016007,0.704763939,0.373948845,-0.078990879,-0.005304638,0.079693571,-6118
トーエネック,0,1.056625853,232053,219617,215677,224843,1.018268058,0.959233776,301599,175002,126596,14072,8283,5943,2969,-27522,0.064075185,0.027463619,0.065428608,0.728175491,0.580247282,0.027060747,0.01351899,-0.125318168,8912
住友電設,0,1.044906142,175120,167594,154053,172910,1.087898321,0.890943265,161036,67651,93385,13005,9140,6861,11525,-3382,0.077598243,0.056757495,0.097874391,1.040723813,0.420098611,0.04093822,0.068767378,-0.02017972,18386
日本電設工業,0,0.991536507,172100,173569,195695,198244,0.886936304,0.987142108,257700,72507,185192,7454,5222,9514,-6644,-2737,0.042945457,0.020263873,0.028197762,0.673531238,0.281362049,0.054813936,-0.038278725,-0.015768945,2870
エクシオグループ,0,1.055085401,627607,594840,573339,524574,1.037501374,1.092961146,535617,228564,307053,42380,27766,26406,-20388,5023,0.071246049,0.051839281,0.090427386,1.110569679,0.426730294,0.044391769,-0.034274763,0.008444288,6018
新日本空調,0,1.051687625,112234,106718,107253,120106,0.995011795,0.892986196,99966,46153,53813,6881,5403,7004,414,-4413,0.064478345,0.054048376,0.100403248,1.067542965,0.461686974,0.065630915,0.003879383,-0.041351974,7418
九電工,0,1.051040596,395783,376563,391901,428939,0.960862565,0.913652058,378396,137201,241194,33137,26216,5252,-7536,-10191,0.087998555,0.069281916,0.108692588,0.995155868,0.362585757,0.013947201,-0.020012588,-0.027063201,-2284
三機工業,0,0.98797033,190865,193189,190067,207684,1.016425787,0.915174014,183609,89331,94278,9112,6489,18529,-3384,-7518,0.047166247,0.035341405,0.068828359,1.052176092,0.486528438,0.095911258,-0.017516525,-0.038915259,15145
日揮ホールディングス,1,1.416640017,606890,428401,433970,480809,0.987167316,0.902582938,694274,306612,387662,20688,-35551,19311,-7695,-148,0.048291204,-0.051206008,-0.091706177,0.617048888,0.441629674,0.045076926,-0.017962143,-0.000345471,11616
中外炉工業,0,1.063077098,27977,26317,24718,38090,1.0646897,0.648936729,38141,14929,23211,1263,1360,6090,510,-2508,0.047991792,0.035657167,0.058592909,0.689992397,0.391416061,0.231409355,0.019379109,-0.095299616,6600
太平電業,0,0.991064393,125774,126908,127779,119459,0.993183543,1.069647327,131738,51314,80423,10457,8406,613,-8679,-3848,0.082398273,0.063808468,0.104522338,0.963336319,0.389515554,0.004830271,-0.068388124,-0.030321178,-8066
高砂熱学工業,1,1.119192326,338831,302746,275181,320893,1.100170433,0.857547531,300736,163838,136897,14383,11535,1186,1042,-8007,0.047508472,0.0383559,0.084260429,1.006683603,0.544790115,0.003917475,0.003441829,-0.026447913,2228
ＮＥＣネッツエスアイ,0,1.033731399,320802,310334,339109,303616,0.915145278,1.116900954,254701,116551,138149,23181,15021,22674,-7162,-4267,0.074696939,0.058975033,0.108730429,1.218424741,0.457599303,0.073063216,-0.023078361,-0.013749702,15512
朝日工業社,1,1.164937518,80171,68820,70435,103964,0.977071058,0.677494133,72081,37720,34360,2287,1860,4648,89,-1297,0.033231619,0.025804303,0.054132712,0.954759229,0.523300176,0.067538506,0.001293229,-0.018846266,4737
明星工業,1,1.155014569,55890,48389,50533,53073,0.95757228,0.95214139,71149,15224,55924,5339,3793,7171,-9,-2661,0.110334993,0.053310658,0.06782419,0.680107942,0.213973492,0.148194838,-0.000185993,-0.054991837,7162
大気社,0,1.026435886,214793,209261,202548,225378,1.033142761,0.898703511,228159,97371,130788,9428,7248,-8544,-1071,6000,0.045053785,0.03176732,0.055417928,0.917171797,0.426768175,-0.040829395,-0.005118011,0.028672328,-9615
ダイダン,1,1.141362188,185961,162929,157712,169229,1.033079284,0.931944289,139099,61857,77242,7584,5778,-11718,-873,-3214,0.046547883,0.04153876,0.074803863,1.171316832,0.444697661,-0.071920898,-0.005358162,-0.019726384,-12591
日比谷総合設備,1,1.112335589,83978,75497,73119,75890,1.032522327,0.963486625,87466,24057,63409,5662,4372,1703,-269,-2867,0.074996357,0.049985137,0.068949203,0.863158256,0.275044017,0.022557188,-0.003563055,-0.037975019,1434
ニップン,1,1.137583757,365525,321317,288324,344839,1.114430294,0.836111925,325869,147171,178697,11282,9327,11975,-10103,-4278,0.035111743,0.028621931,0.052194497,0.986031197,0.451626267,0.037268492,-0.03144247,-0.013313955,1872
日清製粉グループ本社,1,1.174987054,798681,679736,679495,712180,1.000354675,0.954105704,723073,262430,460643,29430,17509,41833,-15517,-17850,0.043296221,0.024214706,0.038009912,0.940065526,0.362937076,0.061543011,-0.02282798,-0.026260195,26316
昭和産業,1,1.164854764,335053,287635,255997,254017,1.123587386,1.007794754,231306,122216,109089,5564,4006,1334,-11729,8405,0.01934396,0.017319049,0.036722309,1.243525892,0.52837367,0.004637822,-0.040777374,0.029221061,-10395
中部飼料,1,1.258976586,243476,193392,181356,183428,1.066366704,0.988704015,88014,25855,62159,4138,3211,-2466,468,-5028,0.021396955,0.036482832,0.051657845,2.197286795,0.293760084,-0.012751303,0.002419955,-0.025999007,-1998
フィード・ワン,1,1.266071003,307911,243202,214120,215050,1.135821035,0.995675424,108504,63663,44840,4293,3659,2740,-952,-1174,0.017651993,0.033722259,0.081601249,2.241410455,0.58673413,0.011266355,-0.003914441,-0.004827263,1788
日本甜菜製糖,1,1.111485331,65013,58492,54792,57021,1.067528106,0.960909139,100458,32540,67918,2229,1975,2577,489,1381,0.038107775,0.019659957,0.029079184,0.58225328,0.323916463,0.044057307,0.008360118,0.023610066,3066
ＤＭ三井製糖ホールディングス,1,1.104341358,163310,147880,108887,113854,1.358105192,0.956373953,189497,79570,109926,3630,3657,6356,344,6570,0.02454693,0.019298459,0.033267835,0.780381747,0.419901107,0.042980795,0.00232621,0.044427915,6700
ウェルネオシュガー,1,1.266705744,58347,46062,43767,47809,1.052436767,0.915455249,61134,12230,48904,2164,1715,2178,-651,-2402,0.046980157,0.028053129,0.035068706,0.753459613,0.200052344,0.047284095,-0.014133125,-0.052147106,1527
ＭＩＸＩ,1,1.203531918,146867,122030,119319,112171,1.022720606,1.063724135,218056,32000,186056,17808,10262,2647,-17436,-16627,0.145931328,0.047061305,0.055155437,0.559626885,0.146751293,0.021691387,-0.142882898,-0.13625338,-14789
日本Ｍ＆Ａセンターホールディン,0,1.022623202,41315,40401,34795,32009,1.161115103,1.087038021,58919,7893,51026,16430,11437,11099,270,-5943,0.406673102,0.194113953,0.224140634,0.685704102,0.133963577,0.274720923,0.006683003,-0.147100319,11369
メンバーズ,1,1.182353729,17662,14938,12087,10607,1.235873252,1.139530499,10404,4509,5895,1876,1404,1653,-98,-468,0.125585754,0.134948097,0.238167939,1.435793925,0.433391003,0.110657384,-0.00656045,-0.031329495,1555
ＵＴグループ,0,1.088423094,170631,156769,115131,101191,1.36165759,1.137759287,64107,42875,21232,6257,3140,2279,-6300,4554,0.039912228,0.048980611,0.147889977,2.445427176,0.668803719,0.014537313,-0.040186516,0.02904911,-4021
アイティメディア,0,1.081562037,8752,8092,6891,5278,1.1742853,1.305608185,10048,2115,7932,2687,1800,1989,152,-1203,0.332056352,0.179140127,0.226928896,0.805334395,0.21048965,0.245798319,0.018783984,-0.148665348,2141
エス・エム・エス,1,1.173989049,45667,38899,35960,35140,1.0817297,1.023335231,56585,26594,29991,6318,5408,9818,-2079,-3987,0.162420628,0.095573032,0.180320763,0.687443669,0.469983211,0.252397234,-0.053446104,-0.102496208,7739
パーソルホールディングス,1,1.1537139,1223967,1060893,950722,970572,1.115881404,0.979548143,425110,220743,204367,48143,31906,50692,-7057,-21145,0.045379694,0.075053516,0.156121096,2.495572911,0.519260897,0.047782387,-0.006651943,-0.019931322,43635
森永製菓,0,1.072396842,194373,181251,168240,208878,1.077335949,0.805446241,214300,83126,131174,17685,27773,24825,9312,-5943,0.097571875,0.129598693,0.211726409,0.845781615,0.387895474,0.136964762,0.051376268,-0.032788785,34137
名糖産業,0,1.075274413,22727,21136,24180,22995,0.874110835,1.051532942,70867,26153,44713,350,1816,2634,-532,-1669,0.016559425,0.025625467,0.040614586,0.298248832,0.369043419,0.124621499,-0.025170326,-0.078964799,2102
井村屋グループ,0,1.060117198,44685,42151,42152,42309,0.999976276,0.996289206,29422,12030,17392,1704,1473,2911,-958,-2048,0.040426087,0.050064578,0.084694112,1.432635443,0.408877711,0.069061232,-0.022727812,-0.048587222,1953
亀田製菓,1,1.115413971,94992,85163,103305,103808,0.824384105,0.995154516,103421,37375,66046,4832,4419,8305,-9841,1198,0.056738255,0.042728266,0.066907913,0.823459452,0.361386952,0.097518876,-0.115554877,0.014067142,-1536
寿スピリッツ,1,1.558044174,50155,32191,23204,45180,1.387303913,0.513590084,27470,7113,20356,1402,1915,4293,-526,-1176,0.043552546,0.069712414,0.094075457,1.171860211,0.258937022,0.133360256,-0.016339971,-0.03653195,3767
カルビー,1,1.138114816,279315,245419,266745,255938,0.920050985,1.04222507,236598,53140,183458,25135,18053,22327,3643,-25168,0.102416683,0.07630242,0.098403994,1.037282648,0.224600377,0.090975026,0.014844001,-0.102551147,25970
森永乳業,0,1.044201496,525603,503354,583550,590892,0.862572187,0.987574718,458788,250762,208026,29792,33782,40268,8371,-44522,0.059186974,0.073633138,0.162393162,1.097138548,0.546574889,0.079999364,0.016630443,-0.088450673,48639
ヤクルト本社,1,1.16370123,483071,415116,385706,406004,1.076249786,0.950005419,672855,187920,484935,53202,44917,73390,-11875,-45156,0.128161767,0.066755839,0.092624785,0.616947188,0.279287514,0.176793956,-0.028606462,-0.108779233,61515
明治ホールディングス,0,1.048430942,1062157,1013092,1191765,1252706,0.850076987,0.951352512,1117459,404438,713021,92922,87497,127526,-27614,-76997,0.091721186,0.078299964,0.122713076,0.906603285,0.361926478,0.125878005,-0.027257149,-0.076001982,99912
雪印メグミルク,0,1.046391226,584308,558403,615186,613405,0.907697834,1.002903465,401890,192361,209528,18059,12068,29421,-20206,-11262,0.032340442,0.030028117,0.057596121,1.389442385,0.478640922,0.052687754,-0.036185336,-0.02016823,9215
プリマハム,0,1.023823615,430740,420717,433572,418060,0.970350945,1.037104722,221721,99154,122567,14037,9718,16739,-23713,-6616,0.033364471,0.043829858,0.079287247,1.897506326,0.447201663,0.03978684,-0.056363304,-0.015725535,-6974
丸大食品,0,1.015411006,221979,218610,223000,245820,0.980313901,0.907167846,128903,53414,75489,-865,-376,7030,-5688,-1826,-0.003956818,-0.002916922,-0.004980858,1.695926394,0.414373599,0.032157724,-0.026018938,-0.008352774,1342
伊藤ハム米久ホールディングス,0,1.079950935,922682,854374,842675,852450,1.01388317,0.988533052,413123,150383,262740,24611,19118,18473,-11251,-10653,0.028805886,0.046276775,0.072763949,2.06808626,0.364015075,0.021621679,-0.013168706,-0.012468778,7222
クロスキャット,1,1.141595841,13835,12119,9626,9674,1.258986079,0.995038247,7365,3145,4219,1109,765,680,-34,-565,0.0915092,0.103869654,0.181322588,1.645485404,0.427019688,0.05611024,-0.002805512,-0.046621008,646
システナ,1,1.141775953,74526,65272,60871,64552,1.072300439,0.942976205,43477,13303,30173,9106,5992,5544,-559,-1905,0.139508518,0.137819997,0.198588142,1.501299538,0.305977873,0.08493688,-0.008564162,-0.029185562,4985
デジタルアーツ,1,1.153021766,10436,9051,6825,5641,1.326153846,1.209891863,19341,7181,12159,4126,2900,6169,-978,-810,0.455861231,0.149940541,0.238506456,0.467969598,0.371283801,0.681582146,-0.108054359,-0.089492874,5191
日鉄ソリューションズ,0,1.078999157,291688,270332,251992,274843,1.072780088,0.916857988,325764,121194,204569,29886,20521,38406,-8540,-12939,0.11055295,0.062993455,0.100313342,0.829840007,0.372030059,0.142069751,-0.031590785,-0.047863368,29866
綜合警備保障,0,1.006407792,492226,489092,469920,460118,1.040798434,1.021303231,488278,160768,327509,42865,28964,42736,-14093,-18183,0.087641998,0.059318667,0.088437264,1.001667083,0.329255056,0.087378244,-0.02881462,-0.037177055,28643
キューブシステム,0,1.014038139,16325,16099,14788,14708,1.088652962,1.005439217,10064,2850,7214,1417,944,1015,-134,-324,0.088017889,0.093799682,0.130856668,1.599662162,0.283187599,0.063047394,-0.008323498,-0.020125474,881
コア,0,1.048169557,22848,21798,20785,20997,1.04873707,0.98990332,19962,6345,13616,2367,1622,1799,-134,-602,0.108587944,0.081254383,0.119124559,1.091974752,0.317853922,0.082530507,-0.006147353,-0.027617213,1665
カカクコム,1,1.175879203,60820,51723,51077,60978,1.012647571,0.837629965,70477,22313,48164,19147,14294,16033,-1311,-15310,0.370183477,0.202817941,0.296777676,0.733899003,0.316599742,0.309978153,-0.025346558,-0.295999845,14722
アイロムグループ,1,1.169374881,18351,15693,12906,10593,1.215946072,1.218351742,26588,16426,10162,2764,1961,2630,-2918,2677,0.176129484,0.073755077,0.192973824,0.590228675,0.617797503,0.167590646,-0.185942777,0.170585611,-288
セントケア・ホールディング,0,1.075190277,52551,48876,45909,43167,1.064627851,1.063520745,27491,13836,13655,2865,1836,2570,-1608,-1138,0.058617726,0.066785493,0.134456243,1.777890946,0.503291986,0.052582044,-0.032899583,-0.023283411,962
ルネサンス,0,1.098060345,40760,37120,30209,45049,1.228772882,0.670580923,38189,27867,10321,912,513,3819,-1421,-4555,0.024568966,0.013433188,0.049704486,0.972007646,0.729712745,0.102882543,-0.03828125,-0.122710129,2398
新日本科学,1,1.413680415,25090,17748,15110,14561,1.174586367,1.037703454,39312,19589,19723,4195,7127,5952,-4268,-4911,0.236364661,0.181293244,0.361354763,0.451465201,0.498295686,0.335361731,-0.2404778,-0.276707235,1684
ベネフィット・ワン,1,1.104634795,42376,38362,37841,37271,1.013768135,1.015293392,58047,33134,24912,12770,8949,10080,-14247,4544,0.332881497,0.154168174,0.35922447,0.660878254,0.570813306,0.262760023,-0.37138314,0.11845055,-4167
エムスリー,1,1.108854289,230818,208159,169198,130973,1.230268679,1.291854046,345981,82027,263954,95141,63845,52108,-23407,-16371,0.457059267,0.184533255,0.241879267,0.601648645,0.237085273,0.250327874,-0.112447696,-0.078646611,28701
ディー・エヌ・エー,0,1.030916649,134914,130868,136971,121387,0.955443123,1.128382776,340570,95663,244907,11462,30532,18375,-19924,-18549,0.087584436,0.089649705,0.124667731,0.384261679,0.280890859,0.140408656,-0.15224501,-0.14173824,-1549
博報堂ＤＹホールディングス,1,1.107316664,991137,895080,714560,1466249,1.25263099,0.487338781,1053016,665601,387414,71642,55179,20852,-11292,-8698,0.080039773,0.052400913,0.142429029,0.850015574,0.632090111,0.023296242,-0.012615632,-0.009717567,9560
